id,From,To,Voltage,Reactance,Resistance,Circuits,ThermalLimit
l605_3,n4657,n4681,380,15.68640013,1.912975625,3,2.58
l596_3,n4673,n4690,380,2.066525082,0.252015254,3,2.58
l622_3,n4690,n4693,380,13.69050224,1.669573443,3,2.58
l624_3,n4674,n4694,380,15.24331168,1.858940449,3,2.58
l623_3,n4694,n4695,380,8.80881183,1.074245345,3,2.58
l528_3,n4695,n4699,380,15.30793844,1.86682176,3,2.58
l630_3,n4616,n4708,380,4.33277126,0.528386739,3,2.58
l597_3,n4588,n4722,380,2.685431207,0.327491611,3,2.58
l644_3,n4729,n4730,380,11.76051884,1.434209615,3,2.58
l641_3,n4730,n4737,380,14.62680122,1.783756246,3,2.58
l944_3,n4745,n4750,380,2.53643573,0.309321431,3,2.58
l640_3,n4745,n4753,380,3.355155488,0.409165303,3,2.58
l626_3,n4759,n4760,380,19.94496765,2.432313128,3,2.58
l913_3,n3311,n4760,380,18.78877446,2.291313958,3,2.58
l647_3,n4499,n4766,380,6.655794673,0.811682277,3,2.58
l935_3,n4730,n4784,380,3.833012041,0.467440493,3,2.58
l524_3,n4609,n4788,380,13.8729088,1.691818146,3,2.58
l1050_3,n4666,n6844,380,2.755233112,0.336004038,3,2.58
l620_3,n4665,n6844,380,2.956969892,0.360606084,3,2.58
l825_3,n4663,n6844,380,1.775300592,0.216500072,3,2.58
l9606_3,n4616,n6845,380,5.292521941,0.645429505,3,2.58
l9605_3,n3475,n6845,380,11.92321838,1.454051022,3,2.58
l9611_3,n4708,n6847,380,0.777615562,0.094831166,3,2.58
l610_3,n4606,n7269,380,2.576769095,0.314240134,3,2.58
l9608_3,n3488,n7271,380,5.108992674,0.623047887,3,2.58
l9609_3,n4852,n7271,380,2.013123312,0.245502843,3,2.58
l724_3,n4503,n7272,380,2.384944002,0.29084683,3,2.58
l9630_3,n4630,n7282,380,2.885082848,0.351839372,3,2.58
l9631_3,n4653,n7282,380,5.362930894,0.654015963,3,2.58
l1013_3,n4607,n7653,380,1.571929729,0.191698747,3,2.58
l606_3,n4609,n7653,380,4.195956323,0.511701991,3,2.58
l928_3,n4845,n7711,380,3.018231069,0.36807696,3,2.58
l1014_3,n4609,n7711,380,2.027157612,0.247214343,3,2.58
l613_3,n4641,n7724,380,2.303408529,0.280903479,3,2.58
l648_3,n7745,n7756,380,7.554971151,0.921337945,3,2.58
l1016_3,n4602,n7791,380,3.999758607,0.48777544,3,2.58
l1017_3,n4788,n7791,380,1.22408939,0.149279194,3,2.58
l625_3,n4586,n7798,380,2.079562523,0.253605186,3,2.58
l1008_3,n4722,n7798,380,1.150378934,0.140290114,3,2.58
l1048_3,n4693,n7800,380,3.588380634,0.437607394,3,2.58
l994_3,n3501,n7850,380,6.179382166,0.753583191,3,2.58
l637_3,n3500,n7850,380,6.540588684,0.797632766,3,2.58
l638_3,n3306,n7857,380,8.980786441,1.095217859,3,2.58
l991_3,n3315,n7857,380,2.220150527,0.270750064,3,2.58
l1042_3,n4745,n7863,380,2.193111907,0.267452672,3,2.58
l945_3,n4750,n7863,380,1.527598694,0.186292524,3,2.58
l646_3,n4747,n7863,380,4.20599878,0.512926681,3,2.58
l1049_3,n7800,n7873,380,1.284447627,0.156639955,3,2.58
l529_3,n4699,n7873,380,6.498577517,0.792509453,3,2.58
l6912_3,n5671,n7878,380,5.856163371,0.714166265,3,2.58
l1007_3,n4620,n7890,380,2.472666452,0.301544689,3,2.58
l642_3,n4725,n7890,380,7.041196402,0.858682488,3,2.58
l643_3,n4588,n7890,380,3.919153429,0.47794554,3,2.58
l527_3,n4681,n7976,380,9.667806047,1.179000738,3,2.58
l1037_3,n4649,n7976,380,8.514032946,1.038296701,3,2.58
l9612_3,n6847,n8013,380,5.294260425,0.645641515,3,2.58
l645_3,n4697,n8015,380,3.659218086,0.446246108,3,2.58
l1044_3,n5660,n8015,380,3.424285109,0.417595745,3,2.58
l6942_3,n7269,n8061,380,13.61328069,1.660156182,3,2.58
l631_3,n7889,n8061,380,4.296410361,0.523952483,3,2.58
l1009_3,n7798,n8061,380,2.688530408,0.327869562,3,2.58
sl0,n8045,n8046,220,0.000669604,0.000133476,1,1.29
sl1,n7790,n7791,220,0.000669604,0.000133476,1,1.29
sl2,n6848,n6849,220,0.000669604,0.000133476,1,1.29
sl3,n7721,n7720,220,0.000669604,0.000133476,1,1.29
sl4,n5648,n7264,220,0.001291672,0.000257476,1,1.29
sl5,n5713,n5653,220,0.010164359,0.002026118,1,1.29
