id,zone,lat,lon
n7487,DE,50.894372,11.597443
n7489,DE,52.614723,12.233276
n7610,DE,52.704683,12.978973
n7637,DE,52.114096,14.440155
n7641,DE,50.959292,13.128662
n7649,DE,47.800242,8.878326
n7652,DE,49.408,7.177
n7653,DE,49.388,7.177
n7672,DE,51.010299,10.345001
n7681,DE,52.792797,7.130127
n7682,DE,51.567681,12.171478
n7688,DE,53.559073,12.553253
n7704,DE,50.264765,7.505035
n7711,DE,49.349283,6.844482
n7712,DE,50.306007,8.12439
n7720,DE,53.582,12.133
n7721,DE,53.562,12.133
n7723,DE,51.401,6.503
n7724,DE,51.381,6.503
n7726,DE,53.188756,13.94165
n7729,DK,54.913725,9.41391
n7745,DE,49.884017,10.020905
n7756,DE,49.60804,10.007172
n7760,DE,53.625095,11.725159
n7769,DE,47.538,11.216
n7783,DE,48.281365,10.06485
n7786,DE,52.503684,7.337494
n7788,DE,51.825593,13.165741
n7790,DE,49.845,6.632
n7791,DE,49.825,6.632
n7795,DE,50.993879,8.032379
n7798,DE,49.562634,8.456726
n7800,DE,51.76869,7.993927
n7805,DE,50.66339,12.906189
n7823,DE,49.546598,6.619263
n7850,DE,48.441045,11.02066
n7852,DE,51.899376,8.544617
n7857,DE,48.370848,11.737518
n7863,DE,51.97473,8.644867
n7870,DE,52.261434,14.317932
n7871,DE,53.874392,9.394684
n7872,DE,51.813,7.942
n7873,DE,51.793,7.942
n7878,DE,53.61695,9.615784
n7879,DE,53.084952,9.025269
n7884,DE,52.170563,9.070587
n7888,DE,49.433,8.308
n7889,DE,49.413,8.308
n7890,DE,49.832668,8.482819
n7892,DE,51.063839,12.626038
n7897,DE,51.388923,8.856354
n7901,DE,53.748711,13.276978
n7907,DE,50.867511,12.062988
n7910,DE,49.782151,9.50592
n7913,DE,50.195364,8.756104
n7916,DE,51.76529,12.988586
n7933,DE,50.952371,13.808441
n7934,DE,52.838447,13.314056
n7938,DE,51.76869,9.770966
n7939,DE,53.648708,13.274231
n7941,DE,52.459357,7.969208
n7944,DE,48.459263,10.453491
n7952,DE,53.234811,8.32901
n7959,DE,48.451066,9.185944
n7961,CZ,49.808302,12.9549405
n7967,DE,53.012305,12.075348
n7975,DE,48.867425,8.477325
n7976,DE,51.037076,7.546234
n7983,DE,50.981776,6.227875
n7984,DE,48.391826,12.788086
n7988,DE,52.37308413,12.9357145
n7989,DE,53.116284,13.930664
n7996,DE,50.814612,8.059845
n7998,DE,51.145756,9.125519
n8002,DE,52.533767,7.389679
n8013,DE,49.22836,8.894806
n8015,DE,52.46605,8.374329
n8016,DE,50.6303,11.601562
n8028,DE,51.697246,7.693176
n8043,DE,54.258005,10.053864
n8045,DE,48.027,10.761
n8046,DE,48.007,10.761
n8047,DE,50.771208,6.811523
n8051,DE,53.182173,8.419647
n8052,DE,53.067627,8.438873
n8055,DE,51.955268,8.4375
n8060,DE,53.196984,8.595428
n8061,DE,49.561743,8.305664
n8066,DE,53.262749,12.31842
