id,Node,Technology,Fuel,Power,Efficiency,Emission,VariableCost,Storage,Latitude,Longitude
p2920,n4730,psp,hydro,0.03125,1,0,0,0.3125,50.657297,8.705292
p2921,n4733,psp,hydro,0.0188,1,0,0,0.188,50.105,8.973
p2922,n4736,psp,hydro,0.006,1,0,0,0.06,49.603591,9.363098
p2923,n4737,psp,hydro,0.03007,1,0,0,0.3007,51.029304,9.258728
p2924,n4740,psp,hydro,0.05247,1,0,0,0.5247,50.85971,9.621277
p2925,n4741,psp,hydro,0.03086,1,0,0,0.3086,51.194836,9.529266
p2926,n4742,psp,hydro,0.0164,1,0,0,0.164,51.306579,9.552612
p2927,n4743,psp,hydro,0.02584,1,0,0,0.2584,52.390687,8.893433
p2928,n4744,psp,hydro,0.0064,1,0,0,0.064,52.024,8.759
p2929,n4745,psp,hydro,0.0152,1,0,0,0.152,52.004,8.759
p2930,n4746,psp,hydro,0.0344,1,0,0,0.344,51.908,8.429
p2931,n4747,psp,hydro,0.01648,1,0,0,0.1648,51.888,8.429
p2932,n4750,psp,hydro,0.0044,1,0,0,0.044,52.016,8.609
p2933,n4751,psp,hydro,0.02782,1,0,0,0.2782,52.104818,8.665466
p2934,n4752,psp,hydro,0.0064,1,0,0,0.064,51.994,8.952
p2935,n4753,psp,hydro,0.0128,1,0,0,0.128,51.974,8.952
p2936,n4754,psp,hydro,0.0044,1,0,0,0.044,51.707459,8.691559
p2937,n4755,psp,hydro,0.0283,1,0,0,0.283,52.245461,9.122772
p2938,n4756,psp,hydro,0.12874,1,0,0,1.2874,52.277401,9.652863
p2939,n4757,psp,hydro,0.0133,1,0,0,0.133,49.957405,10.784454
p2940,n4760,psp,hydro,0.07035,1,0,0,0.7035,49.407399,10.80368
p2941,n4761,psp,hydro,0.0044,1,0,0,0.044,51.627395,9.748993
p2942,n4762,psp,hydro,0.012,1,0,0,0.12,51.466841,9.832764
p2943,n4763,psp,hydro,0.0098,1,0,0,0.098,51.980651,9.775085
p2944,n4764,psp,hydro,0.0092,1,0,0,0.092,50.942854,10.393066
p2945,n4765,psp,hydro,0.0255,1,0,0,0.255,49.628504,11.023407
p2946,n4766,psp,hydro,0.0115,1,0,0,0.115,49.992733,11.026154
p2947,n4767,psp,hydro,0.0109,1,0,0,0.109,51.47454,11.017914
p2948,n4768,psp,hydro,0.05467,1,0,0,0.5467,52.379791,9.889069
p2949,n4769,psp,hydro,0.0197,1,0,0,0.197,52.337856,10.022278
p2950,n4770,psp,hydro,0.0079,1,0,0,0.079,52.198349,9.946747
p2951,n4771,psp,hydro,0.005,1,0,0,0.05,52.296,10.301
p2952,n4772,psp,hydro,0.01,1,0,0,0.1,52.276,10.301
p2953,n4778,psp,hydro,0.0224,1,0,0,0.224,52.315195,7.701416
p2954,n4781,psp,hydro,0.01314,1,0,0,0.1314,50.158,8.619
p2955,n4783,psp,hydro,0.036,1,0,0,0.36,50.406767,11.046753
p2956,n4784,psp,hydro,0.005,1,0,0,0.05,50.66252,8.484192
p2957,n4785,psp,hydro,0.01,1,0,0,0.1,50.131143,10.030518
p2958,n4786,psp,hydro,0.05709,1,0,0,0.5709,50.816348,6.04248
p2959,n4787,psp,hydro,0.01568,1,0,0,0.1568,49.834,6.699
p2960,n4790,psp,hydro,0.05842,1,0,0,0.5842,51.800123,8.245239
p2961,n4846,psp,hydro,0.0162,1,0,0,0.162,49.105343,9.330139
p2962,n4847,psp,hydro,0.066,1,0,0,0.66,49.953,7.857
p2963,n4848,psp,hydro,0.0105,1,0,0,0.105,49.933,7.857
p2964,n4852,psp,hydro,0.0328,1,0,0,0.328,49.155664,9.062347
p2965,n4854,psp,hydro,0.006,1,0,0,0.06,49.927356,9.908295
p2966,n5537,psp,hydro,0.0075,1,0,0,0.075,52.652,13.049
p2967,n5538,psp,hydro,0.027,1,0,0,0.27,52.632,13.049
p2968,n5539,psp,hydro,0.0527,1,0,0,0.527,52.593038,13.410187
p2969,n5542,psp,hydro,0.005,1,0,0,0.05,54.14366,12.128323
p2970,n5549,psp,hydro,0.005,1,0,0,0.05,54.258807,13.066864
p2971,n5552,psp,hydro,0.005,1,0,0,0.05,54.103,13.601
p2972,n5553,psp,hydro,0.0025,1,0,0,0.025,53.196161,13.768616
p2973,n5644,psp,hydro,0.01056,1,0,0,0.1056,53.108865,8.32489
p2974,n5651,psp,hydro,0.0171,1,0,0,0.171,53.384,7.256
p2975,n5654,psp,hydro,0.006,1,0,0,0.06,53.545,8.002
p2976,n5656,psp,hydro,0.013,1,0,0,0.13,52.918839,8.070831
p2977,n5657,psp,hydro,0.0046,1,0,0,0.046,53.311,8.122
p2978,n5658,psp,hydro,0.0105,1,0,0,0.105,53.291,8.122
p2979,n5659,psp,hydro,0.0092,1,0,0,0.092,52.94781,8.466339
p2980,n5660,psp,hydro,0.03066,1,0,0,0.3066,52.591369,8.368835
p2981,n5662,psp,hydro,0.0035,1,0,0,0.035,52.990817,8.878326
p2982,n5664,psp,hydro,0.0916,1,0,0,0.916,53.917,9.242
p2983,n5671,psp,hydro,0.0057,1,0,0,0.057,53.415262,9.516907
p2984,n5672,psp,hydro,0.0383,1,0,0,0.383,53.961742,9.569092
p2985,n5674,psp,hydro,0.003,1,0,0,0.03,53.822,9.948
p2986,n5676,psp,hydro,0.0126,1,0,0,0.126,53.678002,9.677582
p2987,n5678,psp,hydro,0.0096,1,0,0,0.096,54.315,9.76
p2988,n5679,psp,hydro,0.0325,1,0,0,0.325,54.295,9.76
p2989,n5681,psp,hydro,0.005,1,0,0,0.05,53.712,9.971
p2990,n5682,psp,hydro,0.0058,1,0,0,0.058,53.568045,10.254364
p2991,n5684,psp,hydro,0.0082,1,0,0,0.082,54.249982,10.162354
p2992,n5685,psp,hydro,0.0033,1,0,0,0.033,53.435719,10.458984
p2993,n5687,psp,hydro,0.0033,1,0,0,0.033,53.833891,10.548248
p2994,n5690,psp,hydro,0.0025,1,0,0,0.025,53.862,10.757
p2995,n5695,psp,hydro,0.0133,1,0,0,0.133,54.752,9.407
p2996,n5696,psp,hydro,0.0183,1,0,0,0.183,54.732,9.407
p2997,n5714,psp,hydro,0.0077,1,0,0,0.077,54.383756,10.324402
p2998,n5732,psp,hydro,0.013,1,0,0,0.13,53.931837,9.327393
p2999,n5734,psp,hydro,0.0149,1,0,0,0.149,54.792768,9.253235
p3000,n6839,psp,hydro,0.004,1,0,0,0.04,51.272,6.466
p3001,n6842,psp,hydro,0.0251,1,0,0,0.251,51.628,7.696
p3002,n6843,psp,hydro,0.007,1,0,0,0.07,51.5,6.925
p3003,n6844,psp,hydro,0.00413,1,0,0,0.0413,51.48,6.925
p3004,n6845,psp,hydro,0.0069,1,0,0,0.069,49.135003,8.687439
p3005,n6847,psp,hydro,0.00368,1,0,0,0.0368,49.295,8.648
p3006,n6848,psp,hydro,0.0585,1,0,0,0.585,52.364,9.279
p3007,n6849,psp,hydro,0.13819,1,0,0,1.3819,52.344,9.279
p3008,n6853,psp,hydro,0.0069,1,0,0,0.069,47.61638306,9.663429844
p3009,n6854,psp,hydro,0.0239,1,0,0,0.239,49.771509,6.560211
p3010,n7261,psp,hydro,0.01539,1,0,0,0.1539,50.05625693,9.069206266
p3011,n7266,psp,hydro,0.0044,1,0,0,0.044,49.467,8.598
p3012,n7267,psp,hydro,0.009,1,0,0,0.09,49.447,8.598
p3013,n7270,psp,hydro,0.0508,1,0,0,0.508,49.103,9.123
p3014,n7271,psp,hydro,0.0564,1,0,0,0.564,49.083,9.123
p3015,n7273,psp,hydro,0.009,1,0,0,0.09,47.62718878,7.61211063
p3016,n7275,psp,hydro,0.04,1,0,0,0.4,52.70540096,13.51945041
p3017,n7276,psp,hydro,0.0142,1,0,0,0.142,47.63669112,9.802352407
p3018,n7278,psp,hydro,0.0028,1,0,0,0.028,48.63849157,9.436338729
p3019,n7279,psp,hydro,0.0065,1,0,0,0.065,47.90642777,8.413851382
p3020,n7280,psp,hydro,0.0033,1,0,0,0.033,47.964181,8.503418
p3021,n7281,psp,hydro,0.02,1,0,0,0.2,48.75610459,9.442251622
p3022,n7282,psp,hydro,0.0425,1,0,0,0.425,50.92743082,6.807611836
p3023,n7489,psp,hydro,0.0093,1,0,0,0.093,52.614723,12.233276
p3024,n7641,psp,hydro,0.01,1,0,0,0.1,50.959292,13.128662
p3025,n7649,psp,hydro,0.0196,1,0,0,0.196,47.800242,8.878326
p3026,n7672,psp,hydro,0.014,1,0,0,0.14,51.010299,10.345001
p3027,n7704,psp,hydro,0.0076,1,0,0,0.076,50.264765,7.505035
p3028,n7745,psp,hydro,0.0065,1,0,0,0.065,49.884017,10.020905
p3029,n7756,psp,hydro,0.0094,1,0,0,0.094,49.60804,10.007172
p3030,n7760,psp,hydro,0.008,1,0,0,0.08,53.625095,11.725159
p3031,n7769,psp,hydro,0.0078,1,0,0,0.078,47.538,11.216
p3032,n7783,psp,hydro,0.0172,1,0,0,0.172,48.281365,10.06485
p3033,n7790,psp,hydro,0.0495,1,0,0,0.495,49.845,6.632
p3034,n7800,psp,hydro,0.0093,1,0,0,0.093,51.76869,7.993927
p3035,n7850,psp,hydro,0.0116,1,0,0,0.116,48.441045,11.02066
p3036,n7852,psp,hydro,0.0176,1,0,0,0.176,51.899376,8.544617
p3037,n7870,psp,hydro,0.01,1,0,0,0.1,52.261434,14.317932
p3038,n7871,psp,hydro,0.0033,1,0,0,0.033,53.874392,9.394684
p3039,n7872,psp,hydro,0.02478,1,0,0,0.2478,51.813,7.942
p3040,n7878,psp,hydro,0.006,1,0,0,0.06,53.61695,9.615784
p3041,n7879,psp,hydro,0.0273,1,0,0,0.273,53.084952,9.025269
p3042,n7888,psp,hydro,0.00953,1,0,0,0.0953,49.433,8.308
p3043,n7897,psp,hydro,0.0014,1,0,0,0.014,51.388923,8.856354
p3044,n7913,psp,hydro,0.0046,1,0,0,0.046,50.195364,8.756104
p3045,n7916,psp,hydro,0.1026,1,0,0,1.026,51.76529,12.988586
p3046,n7941,psp,hydro,0.0098,1,0,0,0.098,52.459357,7.969208
p3047,n7959,psp,hydro,0.0578,1,0,0,0.578,48.451066,9.185944
p3048,n7975,psp,hydro,0.0044,1,0,0,0.044,48.867425,8.477325
p3049,n7976,psp,hydro,0.0329,1,0,0,0.329,51.037076,7.546234
p3050,n7983,psp,hydro,0.0607,1,0,0,0.607,50.981776,6.227875
p3051,n7984,psp,hydro,0.006,1,0,0,0.06,48.391826,12.788086
p3052,n8013,psp,hydro,0.0091,1,0,0,0.091,49.22836,8.894806
p3053,n8015,psp,hydro,0.01152,1,0,0,0.1152,52.46605,8.374329
p3054,n8028,psp,hydro,0.0234,1,0,0,0.234,51.697246,7.693176
p3055,n8043,psp,hydro,0.0015,1,0,0,0.015,54.258005,10.053864
p3056,n8046,psp,hydro,0.0115,1,0,0,0.115,48.007,10.761
p3057,n8047,psp,hydro,0.0655,1,0,0,0.655,50.771208,6.811523
p3058,n8061,psp,hydro,0.03332,1,0,0,0.3332,49.561743,8.305664
