ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Latitude,Longitude
p75,n5697,steam,hard coal,800,0.4625,0.353889909,40.11884725,53.486245,9.953149
p76,n4693,steam,hard coal,765,0.46,0.353889909,40.2561929,51.680278,7.969722
p77,n4693,steam,hard coal,764,0.46,0.353889909,40.2561929,51.680278,7.969722
p78,n4756,steam,hard coal,136,0.3975,0.353889909,44.25131007,52.42,9.648611
p79,n4756,steam,hard coal,136,0.3975,0.353889909,44.25131007,52.42,9.648611
p80,n4713,steam,hard coal,125,0.3375,0.353889909,49.47869893,49.177334,9.206318
p81,n4713,steam,hard coal,125,0.34,0.353889909,49.22405591,49.177334,9.206318
p82,n4713,steam,hard coal,778,0.3875,0.353889909,45.01012458,49.177334,9.206318
p83,n4676,steam,hard coal,280,0.34,0.353889909,49.22405591,51.550753,7.187481
p84,n4676,steam,hard coal,449,0.3975,0.353889909,44.25131007,51.550753,7.187481
p85,n4769,steam,hard coal,690,0.3725,0.353889909,46.22473707,52.3150224,10.09141738
p86,n4778,steam,hard coal,794,0.3875,0.353889909,45.01012458,52.28881179,7.747906179
p87,n4726,steam,hard coal,66,0.3975,0.353889909,44.25131007,50.09178,8.53105
p88,n4605,steam,hard coal,13.4,0.415,0.353889909,43.01137973,49.43461,7.75824
p89,n3467,steam,hard coal,505,0.3875,0.353889909,45.01012458,49.0125,8.302778
p90,n3467,steam,hard coal,842,0.46,0.353889909,40.2561929,49.0125,8.302778
p91,n5683,steam,hard coal,323,0.35,0.353889909,48.24186139,54.33945,10.1766
p92,n4638,steam,hard coal,26,0.3175,0.353889909,51.66020767,51.369811,6.6615
p93,n4638,steam,hard coal,110,0.3525,0.353889909,48.00502016,51.369811,6.6615
p94,n4638,steam,hard coal,103,0.33,0.353889909,50.26577737,51.368872,6.654106
p95,n6842,steam,hard coal,149,0.33,0.353889909,50.26577737,51.61403992,7.481253974
p96,n6842,steam,hard coal,324,0.3475,0.353889909,48.48211041,51.61403992,7.481253974
p97,n4647,steam,hard coal,746,0.4575,0.353889909,40.3950396,51.6124,7.46532
p98,n4720,steam,hard coal,255,0.4375,0.353889909,41.56293866,49.445694,8.490444
p99,n4720,steam,hard coal,425,0.38,0.353889909,45.60544452,49.445694,8.490444
p100,n4720,steam,hard coal,435,0.4075,0.353889909,43.52973799,49.445694,8.490444
p101,n4720,steam,hard coal,843,0.4625,0.353889909,40.11884725,49.445694,8.490444
p102,n4674,steam,hard coal,120,0.2725,0.353889909,57.73941206,51.68037,7.09688
p103,n4674,steam,hard coal,55.3,0.3525,0.353889909,48.00502016,51.68037,7.09688
p104,n4674,steam,hard coal,60.4,0.34,0.353889909,49.22405591,51.68037,7.09688
p105,n4674,steam,hard coal,60.2,0.3825,0.353889909,45.40441055,51.68037,7.09688
