Nuclear,Lignite,HardCoal,NaturalGas,Oil(light),Oil(heavy),OtherFuels,Waste,hydro,Biomass,Geothermal,wind onshore,wind offshore,sun
1,1,1,1,1,1,1,1,1,1,1,0.819626037,0.660385439,0.107403923
1,1,1,1,1,1,1,1,1,1,1,0.795473077,0.670663812,0.092639502
1,1,1,1,1,1,1,1,1,1,1,0.765921552,0.62012848,0.05775494
1,1,1,1,1,1,1,1,1,1,1,0.735779559,0.625481799,0.020120142
1,1,1,1,1,1,1,1,1,1,1,0.697342893,0.669379015,0.001592241
1,1,1,1,1,1,1,1,1,1,1,0.646900042,0.654389722,0
1,1,1,1,1,1,1,1,1,1,1,0.634725151,0.621841542,0
1,1,1,1,1,1,1,1,1,1,1,0.627133418,0.605567452,0
1,1,1,1,1,1,1,1,1,1,1,0.583551244,0.664453961,0
1,1,1,1,1,1,1,1,1,1,1,0.561872628,0.675374732,0
1,1,1,1,1,1,1,1,1,1,1,0.518712217,0.679657388,0
1,1,1,1,1,1,1,1,1,1,1,0.501869816,0.658458244,0
1,1,1,1,1,1,1,1,1,1,1,0.470856179,0.604282655,0
1,1,1,1,1,1,1,1,1,1,1,0.437677492,0.553533191,0
1,1,1,1,1,1,1,1,1,1,1,0.412568536,0.555888651,0
1,1,1,1,1,1,1,1,1,1,1,0.385322649,0.550749465,0
1,1,1,1,1,1,1,1,1,1,1,0.370476592,0.513062099,0
1,1,1,1,1,1,1,1,1,1,1,0.348319978,0.520342612,0
1,1,1,1,1,1,1,1,1,1,1,0.326753831,0.480513919,0
1,1,1,1,1,1,1,1,1,1,1,0.31651905,0.474518201,0
1,1,1,1,1,1,1,1,1,1,1,0.301419935,0.495503212,0.004197727
1,1,1,1,1,1,1,1,1,1,1,0.28325601,0.476659529,0.045849316
1,1,1,1,1,1,1,1,1,1,1,0.273696049,0.454603854,0.108236231
1,1,1,1,1,1,1,1,1,1,1,0.289020104,0.365738758,0.154736918
1,1,1,1,1,1,1,1,1,1,1,0.304906509,0.263383298,0.161142071
1,1,1,1,1,1,1,1,1,1,1,0.286236468,0.188865096,0.140261996
1,1,1,1,1,1,1,1,1,1,1,0.261380571,0.139614561,0.095606861
1,1,1,1,1,1,1,1,1,1,1,0.249599325,0.125695931,0.039046103
1,1,1,1,1,1,1,1,1,1,1,0.233994095,0.121199143,0.003510169
1,1,1,1,1,1,1,1,1,1,1,0.226627302,0.118415418,0
1,1,1,1,1,1,1,1,1,1,1,0.216786166,0.099357602,0
1,1,1,1,1,1,1,1,1,1,1,0.196710249,0.081156317,0
1,1,1,1,1,1,1,1,1,1,1,0.18222972,0.058244111,0
1,1,1,1,1,1,1,1,1,1,1,0.167777309,0.043897216,0
1,1,1,1,1,1,1,1,1,1,1,0.149810207,0.026552463,0
1,1,1,1,1,1,1,1,1,1,1,0.135582736,0.028907923,0
1,1,1,1,1,1,1,1,1,1,1,0.112863771,0.044753747,0
1,1,1,1,1,1,1,1,1,1,1,0.100042176,0.062526767,0
1,1,1,1,1,1,1,1,1,1,1,0.091888092,0.079014989,0
1,1,1,1,1,1,1,1,1,1,1,0.088317166,0.088650964,0
1,1,1,1,1,1,1,1,1,1,1,0.08575847,0.120556745,0
1,1,1,1,1,1,1,1,1,1,1,0.078110502,0.137473233,0
1,1,1,1,1,1,1,1,1,1,1,0.072374526,0.178586724,0
1,1,1,1,1,1,1,1,1,1,1,0.072430761,0.237044968,0
1,1,1,1,1,1,1,1,1,1,1,0.068072543,0.235117773,0.00470435
1,1,1,1,1,1,1,1,1,1,1,0.054491776,0.248179872,0.060613737
1,1,1,1,1,1,1,1,1,1,1,0.038774076,0.288222698,0.14706521
1,1,1,1,1,1,1,1,1,1,1,0.02699283,0.336830835,0.226604907
1,1,1,1,1,1,1,1,1,1,1,0.029692113,0.377087794,0.263733082
1,1,1,1,1,1,1,1,1,1,1,0.033347392,0.4124197,0.247593544
1,1,1,1,1,1,1,1,1,1,1,0.035090679,0.426980728,0.175580806
1,1,1,1,1,1,1,1,1,1,1,0.039420779,0.46745182,0.074039227
1,1,1,1,1,1,1,1,1,1,1,0.051061437,0.495931478,0.00658609
1,1,1,1,1,1,1,1,1,1,1,0.076929566,0.486509636,0
1,1,1,1,1,1,1,1,1,1,1,0.103894278,0.544325482,0
1,1,1,1,1,1,1,1,1,1,1,0.128834528,0.605139186,0
1,1,1,1,1,1,1,1,1,1,1,0.141431182,0.617987152,0
1,1,1,1,1,1,1,1,1,1,1,0.143905525,0.622698073,0
1,1,1,1,1,1,1,1,1,1,1,0.155658653,0.632119914,0
1,1,1,1,1,1,1,1,1,1,1,0.169942359,0.633190578,0
1,1,1,1,1,1,1,1,1,1,1,0.186981583,0.655246253,0
1,1,1,1,1,1,1,1,1,1,1,0.200168705,0.660813704,0
1,1,1,1,1,1,1,1,1,1,1,0.213580768,0.666595289,0
1,1,1,1,1,1,1,1,1,1,1,0.221228736,0.67366167,0
1,1,1,1,1,1,1,1,1,1,1,0.232616336,0.678158458,0
1,1,1,1,1,1,1,1,1,1,1,0.250021088,0.667665953,0
1,1,1,1,1,1,1,1,1,1,1,0.265710671,0.620342612,0
1,1,1,1,1,1,1,1,1,1,1,0.272149585,0.590792291,0
1,1,1,1,1,1,1,1,1,1,1,0.290763391,0.53490364,0.003365419
1,1,1,1,1,1,1,1,1,1,1,0.297202306,0.498286938,0.02377506
1,1,1,1,1,1,1,1,1,1,1,0.290229158,0.418843683,0.049648983
1,1,1,1,1,1,1,1,1,1,1,0.280247434,0.417987152,0.064160093
1,1,1,1,1,1,1,1,1,1,1,0.259581049,0.361456103,0.064630528
1,1,1,1,1,1,1,1,1,1,1,0.25170814,0.337473233,0.053376276
1,1,1,1,1,1,1,1,1,1,1,0.243272881,0.405139186,0.03170008
1,1,1,1,1,1,1,1,1,1,1,0.239083368,0.467237687,0.011797062
1,1,1,1,1,1,1,1,1,1,1,0.238661606,0.469593148,0.001049432
1,1,1,1,1,1,1,1,1,1,1,0.224321665,0.453961456,0
1,1,1,1,1,1,1,1,1,1,1,0.207535498,0.449250535,0
1,1,1,1,1,1,1,1,1,1,1,0.184872768,0.485438972,0
1,1,1,1,1,1,1,1,1,1,1,0.182370308,0.476659529,0
1,1,1,1,1,1,1,1,1,1,1,0.186503585,0.493361884,0
1,1,1,1,1,1,1,1,1,1,1,0.173372698,0.463383298,0
1,1,1,1,1,1,1,1,1,1,1,0.166877548,0.385010707,0
1,1,1,1,1,1,1,1,1,1,1,0.150260087,0.295289079,0
1,1,1,1,1,1,1,1,1,1,1,0.134570505,0.229764454,0
1,1,1,1,1,1,1,1,1,1,1,0.113988472,0.159743041,0
1,1,1,1,1,1,1,1,1,1,1,0.095262196,0.126766595,0
1,1,1,1,1,1,1,1,1,1,1,0.087164347,0.079443255,0
